,collectionsURL,unitCode,EDANurl,title,creditLine,date,identifier,name,notes,objectType,physicalDescription,place,publisher,topic,indexed_dates,indexed_names,indexed_object_types,indexed_places,indexed_topics,mediaCount,mediaURLs,thumbnail,Sitter,Artist,Clean_Date,Gender,Occupation
10,https://collections.si.edu/search/detail/edanmdm:saam_1999.87.6,SAAM,edanmdm:saam_1999.87.6,"Louis-Guillaume Otto, comte de Mosloy","{""Credit Line"": ""Smithsonian American Art Museum, Gift of Natalie Brooks Sears Shippen and William Brush Shippen""}","{""Date"": ""ca. 1780""}","{""Object number"": ""1999.87.6""}","{""Artist"": ""Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827"", ""Sitter"": ""Comte de Mosloy Louis Guillaume Otto""}","{""Luce Center Label"": ""Otto Louis-Guillaume (1754-1817) was a French diplomat who served as minister to the United States in 1779. He was secretary of the French Legation in America in 1782, and returned to France three years later. In Europe he enjoyed a successful career as a diplomat, signing on behalf of Napoleon the Treaty of Amiens in 1802. This treaty achieved fourteen months of peace in Europe during the French Revolution and the Napoleonic Wars.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""watercolor on ivory"", ""Dimensions"": ""sight 1 3/8 x 1 in. (3.5 x 2.5 cm) oval""}",,,"{""Topic"": ""Occupation\\other\\aristocrat\nPortrait male\\bust""}","[""1780s""]","[""Otto, Louis Guillaume, Comte de Mosloy"", ""Peale, Charles Willson""]","[""Paintings""]",,"[""Occupations"", ""Men"", ""Portraits"", ""Aristocracy (Social class)""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.6_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.87.6_1/full/250,/0/default.jpg",Comte de Mosloy Louis Guillaume Otto,Charles Willson Peale,1780,Men,
11,https://collections.si.edu/search/detail/edanmdm:saam_1999.87.5,SAAM,edanmdm:saam_1999.87.5,William Shippen,"{""Credit Line"": ""Smithsonian American Art Museum, Gift of Natalie Brooks Sears Shippen and William Brush Shippen""}","{""Date"": ""1794""}","{""Object number"": ""1999.87.5""}","{""Artist"": ""James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831"", ""Sitter"": ""William Shippen""}","{""Luce Center Label"": ""William Shippen (1792-1867) was two or three years old when James Peale painted this miniature of him. William was the older brother of Thomas Lee Shippen, whose miniature was also painted by Peale [see 1999.87.4]. William would go on to earn a medical degree, and in 1817 he married Mary Louise Shore. The miniature is inscribed to William and Mary Louise\u2019s oldest niece, Jane Gray Wharton, from her mother.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""watercolor on ivory"", ""Dimensions"": ""sight 1 3/4 x 1 3/8 in. (4.4 x 3.5 cm) oval""}",,,"{""Topic"": ""Figure male\\child\\bust\nPortrait male\\bust""}","[""1790s""]","[""Shippen, William"", ""Peale, James""]","[""Paintings""]",,"[""Men"", ""Figure male"", ""Portraits"", ""Children""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.5_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.87.5_1/full/250,/0/default.jpg",William Shippen,James Peale,1794,Men,
12,https://collections.si.edu/search/detail/edanmdm:saam_1999.87.4,SAAM,edanmdm:saam_1999.87.4,Thomas Lee Shippen,"{""Credit Line"": ""Smithsonian American Art Museum, Gift of Natalie Brooks Sears Shippen and William Brush Shippen""}","{""Date"": ""1795""}","{""Object number"": ""1999.87.4""}","{""Artist"": ""James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831"", ""Sitter"": ""Thomas Lee Shippen""}","{""Luce Center Label"": ""Thomas Shippen (1793-1810) was two or three years old when James Peale painted this miniature. Thomas and his brother, William---whose miniature by James Peale is also in this collection <b>[see 1999.87.5]</b>---were the sons of Thomas Lee Shippen (1765-1798) and Elizabeth Carter Farley (1774-1826). Farley\u2019s miniature, painted by Hugh Bridport, is also in this collection <b>[see 1999.87.2]</b>.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""watercolor on ivory"", ""Dimensions"": ""sight 1 3/4 x 1 3/8 in. (4.4 x 3.5 cm) oval""}",,,"{""Topic"": ""Figure male\\child\\bust\nPortrait male\\bust""}","[""1790s""]","[""Shippen, Thomas Lee"", ""Peale, James""]","[""Paintings""]",,"[""Men"", ""Figure male"", ""Portraits"", ""Children""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.4_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.87.4_1/full/250,/0/default.jpg",Thomas Lee Shippen,James Peale,1795,Men,
13,https://collections.si.edu/search/detail/edanmdm:saam_1999.87.3,SAAM,edanmdm:saam_1999.87.3,Jane Gray Wall,"{""Credit Line"": ""Smithsonian American Art Museum, Gift of Natalie Brooks Sears Shippen and William Brush Shippen""}","{""Date"": ""ca. 1795""}","{""Object number"": ""1999.87.3""}","{""Artist"": ""Joseph Francis Burrell, English, born 1770-died after 1854"", ""Sitter"": ""Jane Gray Wall""}","{""Luce Center Label"": ""In June 1793, Jane Gray Wall married Thomas Shore, a landowner in Dinwiddie County, Virginia. In 1817 their daughter, Mary Louise Shore, married Doctor William Shippen, whose miniature, painted when he was a toddler, is in this collection <b>[see 1999.87.5]</b>. According to an inscription on the back of Jane Wall\u2019s miniature, it was painted in Soho Square in London. This suggests that she was visiting Europe, as many other Americans did to further their education during the eighteenth and nineteenth centuries.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""watercolor on ivory"", ""Dimensions"": ""3 1/8 x 2 1/2 in. (7.9 x 6.4 cm)""}",,,"{""Topic"": ""Portrait female\\bust""}","[""1790s""]","[""Wall, Jane Gray"", ""Burrell, Joseph Francis""]","[""Paintings""]",,"[""Women"", ""Portraits""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.3_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.87.3_1/full/250,/0/default.jpg",Jane Gray Wall,Joseph Francis Burrell,1795,Women,
14,https://collections.si.edu/search/detail/edanmdm:saam_1999.87.1,SAAM,edanmdm:saam_1999.87.1,Anne Hume Shippen,"{""Credit Line"": ""Smithsonian American Art Museum, Gift of Natalie Brooks Sears Shippen and William Brush Shippen""}","{""Date"": ""ca. 1796""}","{""Object number"": ""1999.87.1""}","{""Artist"": ""Benjamin Trott, born Boston, MA ca. 1770-died Washington, DC 1843"", ""Sitter"": ""Anne Hume Shippen""}","{""Luce Center Label"": ""Benjamin Trott's portrait of Anne Hume \""Nancy\"" Shippen is a rare example, because he painted very few women early in his career. The sitter was regarded by her numerous admirers as \""sweet to look upon, and sweeter yet to hold.\"" To please her parents, Shippen broke off an engagement with the man she loved in order to marry Colonel Henry Beekman Livingston in 1781. The marriage established ties of kinship among the Lees, Washingtons, and Livingstons, three prominent families from the nation's early history. Shippen ultimately left her husband and lived the rest of her days with her parents. Their daughter, Peggy, was sent to live with Colonel Livingston's mother until she was sixteen to protect her inheritance from her grandmother.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""watercolor on ivory"", ""Dimensions"": ""sight 2 5/8 x 2 1/8 in. (6.7 x 5.3 cm) oval""}",,,"{""Topic"": ""Portrait female\\bust""}","[""1790s""]","[""Shippen, Anne Hume"", ""Trott, Benjamin""]","[""Paintings""]",,"[""Women"", ""Portraits""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.1_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.87.1_1/full/250,/0/default.jpg",Anne Hume Shippen,Benjamin Trott,1796,Women,
15,https://collections.si.edu/search/detail/edanmdm:saam_1999.27.9,SAAM,edanmdm:saam_1999.27.9,"Benjamin Hurd, Jr.","{""Credit Line"": ""Smithsonian American Art Museum, Bequest of Mary Elizabeth Spencer""}","{""Date"": ""ca. 1804-1818""}","{""Object number"": ""1999.27.9""}","{""Artist"": ""William M. S. Doyle, born Boston, MA 1769-died Boston, MA 1828"", ""Sitter"": ""Jr. Benjamin Hurd""}","{""Luce Center Label"": ""Benjamin Hurd Jr. (1778-1818) was born in Roxbury, Massachusetts. His grandfather Jacob Hurd (1702-1758) was a leading silversmith in colonial Boston, and the artist\u2019s father and uncle both followed in the trade.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""watercolor on ivory"", ""Dimensions"": ""image (oval): 2 1/4 x 1 3/4 in. (5.7 x 4.5 cm)""}",,,"{""Topic"": ""Portrait male\\bust""}","[""1800s"", ""1810s""]","[""Hurd, Benjamin, Jr."", ""Doyle, William M. S.""]","[""Paintings""]",,"[""Men"", ""Portraits""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.9_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.27.9_1/full/250,/0/default.jpg",Jr. Benjamin Hurd,William M. S. Doyle,1804,Men,
16,https://collections.si.edu/search/detail/edanmdm:saam_1999.27.80,SAAM,edanmdm:saam_1999.27.80,John Dallas,"{""Credit Line"": ""Smithsonian American Art Museum, Bequest of Mary Elizabeth Spencer""}","{""Date"": ""ca. 1801""}","{""Object number"": ""1999.27.80""}","{""Artist"": ""Unidentified"", ""Sitter"": ""John Dallas""}","{""Luce Center Label"": ""The inscription attached to this miniature reads: \u201cJohn Dallas Departed this life February 11 1801 Aged 38 Years & 10 months.\u201d John\u2019s death date and the burgundy velour frame suggest that this was a piece of mourning jewelry, given to a loved one to remember the deceased. The formality of the sitter\u2019s dress and pose contrast with his disheveled hair and ravaged face. His appearance implies a mortal illness, while the artist\u2019s careful placement of the sitter next to a window suggests a release from suffering.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""oil on panel"", ""Dimensions"": ""image (oval): 6 5/16 x 4 1/4 in. (16.0 x 10.7 cm)""}",,,"{""Topic"": ""Portrait male\\waist length""}","[""1800s""]","[""Dallas, John""]","[""Paintings""]",,"[""Men"", ""Portraits""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.80_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.27.80_1/full/250,/0/default.jpg",John Dallas,Unidentified,1801,Men,
17,https://collections.si.edu/search/detail/edanmdm:saam_1999.27.78,SAAM,edanmdm:saam_1999.27.78,Portrait of a Gentleman,"{""Credit Line"": ""Smithsonian American Art Museum, Bequest of Mary Elizabeth Spencer""}","{""Date"": ""ca. 1800""}","{""Object number"": ""1999.27.78""}","{""Artist"": ""Unidentified"", ""Sitter"": ""unidentified""}","{""Luce Center Label"": ""It is not always possible to identify the sitter in a miniature portrait, and research is still being done on some of the works in the Museum\u2019s collection. Miniatures became popular in England during the early 1700s, commissioned by wealthy families on the occasions of births, engagements, weddings, and bereavements. These paintings, elaborately set into lockets or brooches, provided the wearer with a sentimental connection to a loved one. The back of the miniature often revealed a lock of the sitter\u2019s hair, symbolizing affection, commitment, or loss. The daguerreotype, invented in 1839, provided a cheaper, faster alternative, and portrait miniatures grew less popular. At the turn of the twentieth century, with the establishment of the American Society of Miniature Painters, miniatures enjoyed a brief revival.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""watercolor on ivory"", ""Dimensions"": ""image (oval): 2 3/4 x 2 1/8 in. (6.9 x 5.3 cm)""}",,,"{""Topic"": ""Portrait male\\bust""}","[""1800s"", ""1790s""]",,"[""Paintings""]",,"[""Men"", ""Portraits""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.78_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.27.78_1/full/250,/0/default.jpg",unidentified,Unidentified,1800,Men,
18,https://collections.si.edu/search/detail/edanmdm:saam_1999.27.7,SAAM,edanmdm:saam_1999.27.7,Peter Boylston Adams?,"{""Credit Line"": ""Smithsonian American Art Museum, Bequest of Mary Elizabeth Spencer""}","{""Date"": ""ca. 1765-1770""}","{""Object number"": ""1999.27.7""}","{""Artist"": ""John Singleton Copley, born Boston, MA 1738-died 1815 London, England"", ""Sitter"": ""Peter Boylston Adams""}","{""Luce Center Label"": ""This miniature is thought to show Peter Boylston Adams, who was born in Norfolk, Massachusetts, in 1738. Peter was the brother of the second president of the United States, John Adams, and a captain in the Revolutionary War. He married Mary Crosby in 1768, and this miniature may have been painted to commemorate their wedding.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""oil on copper"", ""Dimensions"": ""image (oval): 3 1/8 x 2 1/2 in. (7.8 x 6.2 cm)""}",,,"{""Topic"": ""Portrait male\\bust""}","[""1770s"", ""1760s""]","[""Adams, Peter Boylston"", ""Copley, John Singleton""]","[""Paintings""]",,"[""Men"", ""Portraits""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.7_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.27.7_1/full/250,/0/default.jpg",Peter Boylston Adams,John Singleton Copley,1765,Men,
19,https://collections.si.edu/search/detail/edanmdm:saam_1999.27.68,SAAM,edanmdm:saam_1999.27.68,Joseph Fox,"{""Credit Line"": ""Smithsonian American Art Museum, Bequest of Mary Elizabeth Spencer""}","{""Date"": ""1790s""}","{""Object number"": ""1999.27.68""}","{""Artist"": ""Unidentified"", ""Sitter"": ""Joseph Fox""}","{""Luce Center Label"": ""Joseph Fox was a prominent citizen of Fitchburg, Massachusetts, where he served as town clerk, taxman, and highway surveyor. In 1769 he married Mary Tuttle, and together they had six children. In his later years he acted as town treasurer, made unsuccessful bids for the state senate, and became a justice of the peace. The portrait shows a middle-aged man with the powdered hair that befitted a political figure of the early 1800s. The artist chose to show Fox with a thoughtful, alert expression, as if he had just been posed a difficult question.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""watercolor on ivory"", ""Dimensions"": ""image (oval): 2 1/2 x 2 in. (6.4 x 5.1 cm)""}",,,"{""Topic"": ""Portrait male\\bust""}","[""1790s""]","[""Fox, Joseph""]","[""Paintings""]",,"[""Men"", ""Portraits""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.68_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.27.68_1/full/250,/0/default.jpg",Joseph Fox,Unidentified,1790,Men,
